z, E_new(eV), E_conformal(eV), E_logarithmic(eV), Ratio_conf, Ratio_log
3.040646493467068467e+03,3.873734506360806400e+18,1.677502233391027403e+04,3.873734506360806400e+18,4.330452256437581044e-15,1.000000000000000000e+00
3.303985069871861469e+03,3.913839434427203584e+18,1.900002852122106924e+04,3.913839434427203584e+18,4.854575370182949599e-15,1.000000000000000000e+00
3.590130377007068546e+03,3.953945370981537792e+18,2.152022258215507100e+04,3.953945370981537792e+18,5.442721272806263793e-15,1.000000000000000000e+00
3.901057617190993369e+03,3.994052235688820224e+18,2.437476945869684641e+04,3.994052235688820224e+18,6.102766819346101506e-15,1.000000000000000000e+00
4.238913057338782892e+03,4.034159954610160128e+18,2.760803054094791514e+04,4.034159954610160128e+18,6.843563679074745484e-15,1.000000000000000000e+00
4.606028844202407527e+03,4.074268459694034944e+18,3.127025314278855876e+04,4.074268459694034944e+18,7.675059572568485155e-15,1.000000000000000000e+00
5.004939102700953299e+03,4.114377688307928064e+18,3.541835145883762016e+04,4.114377688307928064e+18,8.608434650880024915e-15,1.000000000000000000e+00
5.438397428464801123e+03,4.154487582807177728e+18,4.011679114068047056e+04,4.154487582807177728e+18,9.656254914974049411e-15,1.000000000000000000e+00
5.909395895340976494e+03,4.194598090138057728e+18,4.543859124082939525e+04,4.194598090138057728e+18,1.083264481230283168e-14,1.000000000000000000e+00
6.421185709064758157e+03,4.234709161472410112e+18,5.146645909706577368e+04,4.234709161472410112e+18,1.215348141622336645e-14,1.000000000000000000e+00
6.977299649665537800e+03,4.274820751871310336e+18,5.829407579602953047e+04,4.274820751871310336e+18,1.363661289669542222e-14,1.000000000000000000e+00
7.581576457522118289e+03,4.314932819975468032e+18,6.602755219529020542e+04,4.314932819975468032e+18,1.530210433164185296e-14,1.000000000000000000e+00
8.238187331399618415e+03,4.355045327720249344e+18,7.478707813403432374e+04,4.355045327720249344e+18,1.717251429233306665e-14,1.000000000000000000e+00
8.951664721378301692e+03,4.395158240073356288e+18,8.470879046512277273e+04,4.395158240073356288e+18,1.927320606861903723e-14,1.000000000000000000e+00
9.726933615426178221e+03,4.435271524793380864e+18,9.594688894229559810e+04,4.435271524793380864e+18,2.163269788691580338e-14,1.000000000000000000e+00
1.056934553557989420e+04,4.475385152207556096e+18,1.086760328485716163e+05,4.475385152207556096e+18,2.428305702246999010e-14,1.000000000000000000e+00
1.148471547840288986e+04,4.515499095007196160e+18,1.230940556153037905e+05,4.515499095007196160e+18,2.726034332537223440e-14,1.000000000000000000e+00
1.247936205471311405e+04,4.555613328059419136e+18,1.394250396236983943e+05,4.555613328059419136e+18,3.060510837584411228e-14,1.000000000000000000e+00
1.356015110565634677e+04,4.595727828233843200e+18,1.579227989787213737e+05,4.595727828233843200e+18,3.436295726838369723e-14,1.000000000000000000e+00
1.473454309619837295e+04,4.635842574243089408e+18,1.788748243862154195e+05,4.635842574243089408e+18,3.858518090757664553e-14,1.000000000000000000e+00
1.601064461318317808e+04,4.675957546495967232e+18,2.026067514462544350e+05,4.675957546495967232e+18,4.332946769332461604e-14,1.000000000000000000e+00
